BookingID,BookingReference,BookingDate,CheckInDate,CheckOutDate,HotelID,GuestID,RoomTypeID,ChannelID,RatePlan,BookingStatus,Adults,Children,RoomsBooked,Nights,NightlyRateGBP,DiscountPct,GrossRoomRevenueGBP,DiscountAmountGBP,NetRoomRevenueGBP,ExtrasRevenueGBP,CancellationFeeGBP,ChannelCommissionGBP,BookingValueGBP,NetRevenueAfterCommissionGBP,CorporateAccount,SpecialRequest,CancellationDate,CancellationReason,HotelName,City,Region,HotelSegment,OwnershipModel,MarketRateIndex,BookingChannel,ChannelGroup,StandardCommissionRate,RoomType,BaseRateGBP,GuestCountry,LoyaltyTier,AgeBand,MarketingConsent,LeadTimeDays,ADR_GBP
BKG000011,CS-2403-000011,2024-10-05,2024-12-11,2024-12-13,HTL003,GST01120,RT017,CH01,Advance Purchase,Checked Out,1,0,1,2,146.47,0.1,292.94,29.29,263.65,67,0,0,330.65,330.65,,Accessible room,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Direct Website,Direct,0,Executive King,145.63,United Kingdom,Gold,45-54,No,67,131.82
BKG000012,CS-2503-000012,2025-02-21,2025-03-23,2025-03-26,HTL003,GST01442,RT013,CH01,Flexible,Checked Out,1,0,1,3,86.69,0,260.07,0,260.07,36,0,0,296.07,296.07,,,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Direct Website,Direct,0,Standard Double,89.25,United States,Silver,35-44,No,30,86.69
BKG000013,CS-2603-000013,2026-02-02,2026-02-02,2026-02-03,HTL003,GST00363,RT015,CH02,Flexible,Checked Out,2,0,1,1,98.85,0,98.85,0,98.85,0,0,0,98.85,98.85,,Accessible room,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Direct Phone,Direct,0,Superior King,112.37,United Kingdom,Silver,35-44,Yes,0,98.85
BKG000014,CS-2401-000014,2024-08-07,2024-09-06,2024-09-08,HTL001,GST01777,RT002,CH03,Corporate,Checked Out,1,1,1,2,145.52,0.1,291.04,29.1,261.94,47,0,39.29,308.94,269.65,Harbourline Logistics,Early check-in requested,,,Crownstone Regent Quay,London,London,City Centre,Owned,1.34,Booking.com,OTA,0.15,Standard Twin,126.62,United Kingdom,Bronze,25-34,No,30,130.97
BKG000015,CS-2406-000015,2024-04-10,2024-04-11,2024-04-13,HTL006,GST01416,RT033,CH07,Flexible,Checked Out,1,0,1,2,116.19,0,232.38,0,232.38,31,0,0,263.38,263.38,,Away from lift,,,Crownstone Clifton Crescent,Bristol,South West,Boutique,Leased,1.04,Walk-in,Direct,0,Superior King,123.95,United Kingdom,Gold,55-64,Yes,1,116.19
BKG000016,CS-2505-000016,2024-11-24,2025-02-01,2025-02-02,HTL005,GST00566,RT026,CH03,Weekend Break,Checked Out,1,0,1,1,86.32,0.05,86.32,4.32,82,100.63,0,12.3,182.63,170.33,,Near lift,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Booking.com,OTA,0.15,Standard Twin,93.97,United Kingdom,Gold,35-44,Yes,69,82.0
BKG000017,CS-2401-000017,2024-12-07,2024-12-12,2024-12-16,HTL001,GST01737,RT001,CH06,Weekend Break,Checked Out,1,0,1,4,139.16,0,556.64,0,556.64,62,0,55.66,618.64,562.98,,Away from lift,,,Crownstone Regent Quay,London,London,City Centre,Owned,1.34,Travel Agent,Agency,0.1,Standard Double,127.85,United Kingdom,Platinum,45-54,Yes,5,139.16
BKG000018,CS-2502-000018,2025-08-03,2025-09-11,2025-09-14,HTL002,GST00096,RT010,CH01,Bed & Breakfast,Checked Out,1,2,1,3,147.41,0,442.23,0,442.23,194.77,0,0,637,637,,Early check-in requested,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Direct Website,Direct,0,Family Room,146.88,United Kingdom,Bronze,25-34,Yes,39,147.41
BKG000019,CS-2605-000019,2026-01-13,2026-01-18,2026-01-20,HTL005,GST00075,RT028,CH02,Advance Purchase,Checked Out,1,2,1,2,103.7,0.08,207.4,16.59,190.81,102.47,0,0,293.28,293.28,,Away from lift,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Direct Phone,Direct,0,Family Room,130.98,United Kingdom,Silver,35-44,No,5,95.41
BKG000020,CS-2404-000020,2024-05-31,2024-07-24,2024-07-25,HTL004,GST00947,RT020,CH04,Advance Purchase,Checked Out,1,0,1,1,127.59,0.08,127.59,10.21,117.38,124.74,0,19.95,242.12,222.17,,Early check-in requested,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Expedia,OTA,0.17,Standard Twin,115.57,United Kingdom,Silver,25-34,Yes,54,117.38
BKG000021,CS-2502-000021,2025-11-24,2025-11-30,2025-12-02,HTL002,GST01123,RT009,CH03,Flexible,Checked Out,1,0,1,2,118.71,0,237.42,0,237.42,73.04,0,35.61,310.46,274.85,,Twin beds requested,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Booking.com,OTA,0.15,Superior King,124.34,United Kingdom,Silver,35-44,Yes,6,118.71
BKG000022,CS-2602-000022,2026-07-30,2026-08-21,2026-08-22,HTL002,GST01749,RT008,CH04,Flexible,Checked Out,3,0,1,1,145.79,0,145.79,0,145.79,16,0,24.78,161.79,137.01,,,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Expedia,OTA,0.17,Standard Twin,100.55,United Kingdom,Non-member,25-34,Yes,22,145.79
BKG000023,CS-2501-000023,2024-12-15,2025-01-04,2025-01-10,HTL001,GST00019,RT002,CH01,Flexible,Checked Out,1,0,1,6,116.71,0,700.26,0,700.26,0,0,0,700.26,700.26,,Accessible room,,,Crownstone Regent Quay,London,London,City Centre,Owned,1.34,Direct Website,Direct,0,Standard Twin,126.62,United Kingdom,Silver,18-24,Yes,20,116.71
BKG000024,CS-2502-000024,2025-10-15,2025-11-16,2025-11-17,HTL002,GST01542,RT008,CH02,Bed & Breakfast,Checked Out,1,0,1,1,91.02,0,91.02,0,91.02,31.5,0,0,122.52,122.52,,Accessible room,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Direct Phone,Direct,0,Standard Twin,100.55,United Kingdom,Bronze,35-44,Yes,32,91.02
BKG000025,CS-2505-000025,2025-12-02,2025-12-27,2026-01-03,HTL005,GST00139,RT027,CH01,Weekend Break,Checked Out,2,0,1,7,144.83,0,1013.81,0,1013.81,217,0,0,1230.81,1230.81,,High floor,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Direct Website,Direct,0,Superior King,115.67,United Kingdom,Platinum,45-54,Yes,25,144.83
BKG000026,CS-2605-000026,2026-02-01,2026-02-27,2026-03-01,HTL005,GST01025,RT026,CH01,Weekend Break,Checked Out,1,0,1,2,77.85,0.05,155.7,7.79,147.91,137.33,0,0,285.24,285.24,,Late arrival,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Direct Website,Direct,0,Standard Twin,93.97,United Kingdom,Non-member,35-44,Yes,26,73.95
BKG000027,CS-2403-000027,2024-09-28,2024-11-13,2024-11-18,HTL003,GST00512,RT017,CH03,Flexible,Checked Out,1,0,1,5,127.78,0,638.9,0,638.9,77.5,0,95.83,716.4,620.57,,Twin beds requested,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Booking.com,OTA,0.15,Executive King,145.63,United Kingdom,Non-member,35-44,Yes,46,127.78
BKG000028,CS-2504-000028,2025-01-10,2025-04-04,2025-04-10,HTL004,GST00130,RT023,CH03,Flexible,Checked Out,2,0,1,6,198.92,0,1193.52,0,1193.52,360.86,0,179.03,1554.38,1375.35,,,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Booking.com,OTA,0.15,Executive King,177.9,Germany,Non-member,55-64,Yes,84,198.92
BKG000029,CS-2404-000029,2024-11-22,2024-11-23,2024-11-28,HTL004,GST00472,RT019,CH01,Flexible,Checked Out,1,0,1,5,121.44,0,607.2,0,607.2,254.91,0,0,862.11,862.11,,Early check-in requested,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Direct Website,Direct,0,Standard Double,110.62,United Kingdom,Silver,45-54,Yes,1,121.44
BKG000030,CS-2603-000030,2026-03-16,2026-03-26,2026-03-30,HTL003,GST00415,RT013,CH04,Bed & Breakfast,Checked Out,2,2,1,4,77.59,0,310.36,0,310.36,260,0,52.76,570.36,517.6,,Accessible room,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Expedia,OTA,0.17,Standard Double,89.25,Netherlands,Bronze,25-34,Yes,10,77.59
BKG000031,CS-2502-000031,2025-05-31,2025-06-15,2025-06-18,HTL002,GST00129,RT010,CH03,Corporate,Checked Out,1,2,1,3,162.9,0.12,488.7,58.64,430.06,0,0,64.51,430.06,365.55,Kelvin Tech,Early check-in requested,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Booking.com,OTA,0.15,Family Room,146.88,United Kingdom,Silver,65+,Yes,15,143.35
BKG000032,CS-2404-000032,2024-02-15,2024-04-05,2024-04-10,HTL004,GST00176,RT021,CH05,Corporate,Checked Out,3,0,1,5,143.73,0.1,718.65,71.86,646.79,235.4,0,32.34,882.19,849.85,Northbridge Legal,,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Corporate Portal,Corporate,0.05,Superior King,138.06,United Kingdom,Silver,65+,No,50,129.36
BKG000033,CS-2501-000033,2025-03-16,2025-04-07,2025-04-10,HTL001,GST01371,RT001,CH02,Group,Cancelled,5,0,4,3,135.26,0.1,0,0,0,0,0,0,0,0,,High floor,2025-03-24,Duplicate booking,Crownstone Regent Quay,London,London,City Centre,Owned,1.34,Direct Phone,Direct,0,Standard Double,127.85,United Kingdom,Non-member,25-34,Yes,22,0.0
BKG000034,CS-2602-000034,2026-08-12,2026-08-18,2026-08-22,HTL002,GST00660,RT008,CH01,Group,Checked Out,8,0,4,4,125.62,0.08,2009.92,160.79,1849.13,653.45,0,0,2502.58,2502.58,,Away from lift,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Direct Website,Direct,0,Standard Twin,100.55,India,Silver,18-24,No,6,115.57
BKG000035,CS-2605-000035,2025-12-13,2026-01-01,2026-01-04,HTL005,GST00048,RT025,CH03,Group,Checked Out,9,2,5,3,79,0.18,1185,213.3,971.7,466.5,0,145.75,1438.2,1292.45,,Away from lift,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Booking.com,OTA,0.15,Standard Double,89.19,United Kingdom,Non-member,25-34,No,19,64.78
BKG000036,CS-2402-000036,2023-12-31,2024-02-08,2024-02-14,HTL002,GST00193,RT009,CH03,Corporate,Checked Out,1,0,1,6,107.06,0.15,642.36,96.35,546.01,300.09,0,81.9,846.1,764.2,Asteron Consulting,Quiet room,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Booking.com,OTA,0.15,Superior King,124.34,United Kingdom,Gold,35-44,Yes,39,91.0
BKG000037,CS-2404-000037,2024-01-05,2024-01-12,2024-01-16,HTL004,GST01832,RT022,CH01,Flexible,Checked Out,2,3,1,4,140.27,0,561.08,0,561.08,562.32,0,0,1123.4,1123.4,,Accessible room,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Direct Website,Direct,0,Family Room,157.44,,,,,7,140.27
BKG000038,CS-2506-000038,2025-01-23,2025-02-18,2025-02-19,HTL006,GST02025,RT033,CH02,Bed & Breakfast,No Show,1,0,1,1,105.9,0,0,0,0,0,105.9,0,105.9,105.9,,Quiet room,,,Crownstone Clifton Crescent,Bristol,South West,Boutique,Leased,1.04,Direct Phone,Direct,0,Superior King,123.95,,,,,26,0.0
BKG000039,CS-2403-000039,2024-06-05,2024-06-28,2024-06-29,HTL003,GST01312,RT015,CH01,Advance Purchase,Checked Out,1,0,1,1,133.24,0.05,133.24,6.66,126.58,37.78,0,0,164.36,164.36,,Cot required,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Direct Website,Direct,0,Superior King,112.37,Canada,Non-member,35-44,Yes,23,126.58
BKG000040,CS-2502-000040,2025-08-19,2025-09-24,2025-09-25,HTL002,GST01207,RT010,CH03,Flexible,Cancelled,3,1,2,1,151.93,0,0,0,0,0,0,0,0,0,,Away from lift,2025-09-04,Travel disruption,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Booking.com,OTA,0.15,Family Room,146.88,United Kingdom,Bronze,25-34,Yes,36,0.0
BKG000041,CS-2504-000041,2025-05-03,2025-06-01,2025-06-03,HTL004,GST01326,RT019,CH04,Advance Purchase,Checked Out,1,0,1,2,116.17,0.05,232.34,11.62,220.72,80.64,0,37.52,301.36,263.84,,Cot required,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Expedia,OTA,0.17,Standard Double,110.62,United Kingdom,Bronze,25-34,Yes,29,110.36
BKG000042,CS-2405-000042,2024-05-31,2024-06-04,2024-06-06,HTL005,GST01490,RT027,CH01,Event Package,Cancelled,1,0,1,2,172.08,0,0,0,0,0,0,0,0,0,,Accessible room,2024-06-04,Illness,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Direct Website,Direct,0,Superior King,115.67,United Kingdom,Gold,18-24,Yes,4,0.0
BKG000043,CS-2503-000043,2025-08-24,2025-09-06,2025-09-09,HTL003,GST02049,RT013,CH06,Flexible,Checked Out,1,0,1,3,101.41,0,304.23,0,304.23,119.16,0,30.42,423.39,392.97,,Early check-in requested,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Travel Agent,Agency,0.1,Standard Double,89.25,,,,,13,101.41
BKG000044,CS-2502-000044,2025-06-21,2025-06-23,2025-06-24,HTL002,GST02215,RT012,CH06,Flexible,Checked Out,1,0,1,1,233.5,0,233.5,0,233.5,0,0,23.35,233.5,210.15,,Near lift,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Travel Agent,Agency,0.1,Junior Suite,195.32,,,,,2,233.5
BKG000045,CS-2402-000045,2024-06-05,2024-06-23,2024-06-26,HTL002,GST00954,RT010,CH06,Corporate,Checked Out,1,1,1,3,154.01,0.08,462.03,36.96,425.07,0,0,42.51,425.07,382.56,Cobalt Media,Late arrival,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Travel Agent,Agency,0.1,Family Room,146.88,United Kingdom,Bronze,25-34,Yes,18,141.69
BKG000046,CS-2506-000046,2025-02-15,2025-02-28,2025-03-01,HTL006,GST00433,RT033,CH01,Advance Purchase,Checked Out,2,0,1,1,103.78,0.05,103.78,5.19,98.59,0,0,0,98.59,98.59,,Early check-in requested,,,Crownstone Clifton Crescent,Bristol,South West,Boutique,Leased,1.04,Direct Website,Direct,0,Superior King,123.95,United Kingdom,Bronze,25-34,Yes,13,98.59
BKG000047,CS-2502-000047,2025-07-18,2025-07-30,2025-07-31,HTL002,GST00089,RT011,CH01,Advance Purchase,Checked Out,2,0,1,1,191.27,0.1,191.27,19.13,172.14,39.1,0,0,211.24,211.24,,Late arrival,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Direct Website,Direct,0,Executive King,164.22,Spain,Non-member,25-34,Yes,12,172.14
BKG000048,CS-2506-000048,2025-03-31,2025-04-07,2025-04-10,HTL006,GST01677,RT032,CH01,Event Package,Cancelled,3,0,1,3,136.91,0,0,0,0,0,0,0,0,0,,,2025-04-03,No reason provided,Crownstone Clifton Crescent,Bristol,South West,Boutique,Leased,1.04,Direct Website,Direct,0,Standard Twin,101.45,Australia,Gold,45-54,Yes,7,0.0
BKG000049,CS-2501-000049,2025-07-29,2025-09-22,2025-09-27,HTL001,GST00001,RT004,CH03,Advance Purchase,Checked Out,1,2,1,5,164.7,0.1,823.5,82.35,741.15,157.5,0,111.17,898.65,787.48,,Near lift,,,Crownstone Regent Quay,London,London,City Centre,Owned,1.34,Booking.com,OTA,0.15,Family Room,181.97,United Kingdom,Non-member,25-34,Yes,55,148.23
BKG000050,CS-2503-000050,2025-05-06,2025-06-05,2025-06-06,HTL003,GST01021,RT013,CH04,Bed & Breakfast,Checked Out,1,0,1,1,97,0,97,0,97,83.02,0,16.49,180.02,163.53,,Near lift,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Expedia,OTA,0.17,Standard Double,89.25,United Kingdom,Bronze,25-34,Yes,30,97.0
BKG000051,CS-2603-000051,2026-05-05,2026-08-09,2026-08-11,HTL003,GST00597,RT016,CH04,Flexible,Checked Out,2,2,1,2,172.08,0,344.16,0,344.16,24,0,58.51,368.16,309.65,,High floor,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Expedia,OTA,0.17,Family Room,137.15,United Kingdom,Silver,65+,Yes,96,172.08
BKG000052,CS-2604-000052,2026-07-20,2026-08-08,2026-08-11,HTL004,GST01345,RT019,CH05,Corporate,Checked Out,2,0,1,3,177.71,0.15,533.13,79.97,453.16,54,0,22.66,507.16,484.5,Harbourline Logistics,Late arrival,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Corporate Portal,Corporate,0.05,Standard Double,110.62,Italy,Bronze,55-64,Yes,19,151.05
BKG000053,CS-2504-000053,2025-07-07,2025-07-12,2025-07-19,HTL004,GST01782,RT019,CH03,Weekend Break,Checked Out,2,0,1,7,141.31,0,989.17,0,989.17,565.95,0,148.38,1555.12,1406.74,,,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Booking.com,OTA,0.15,Standard Double,110.62,United Kingdom,Non-member,18-24,Yes,5,141.31
BKG000054,CS-2405-000054,2024-06-08,2024-07-17,2024-07-18,HTL005,GST01223,RT025,CH04,Weekend Break,Checked Out,1,0,1,1,113.43,0.05,113.43,5.67,107.76,15.5,0,18.32,123.26,104.94,,,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Expedia,OTA,0.17,Standard Double,89.19,United Kingdom,Gold,35-44,No,39,107.76
BKG000055,CS-2606-000055,2026-05-17,2026-05-20,2026-05-24,HTL006,GST00293,RT032,CH02,Bed & Breakfast,Checked Out,1,0,1,4,118.33,0,473.32,0,473.32,206.62,0,0,679.94,679.94,,,,,Crownstone Clifton Crescent,Bristol,South West,Boutique,Leased,1.04,Direct Phone,Direct,0,Standard Twin,101.45,United Kingdom,Gold,35-44,Yes,3,118.33
BKG000056,CS-2402-000056,2024-05-26,2024-06-14,2024-06-17,HTL002,GST01329,RT011,CH01,Bed & Breakfast,Checked Out,2,0,1,3,205.8,0,617.4,0,617.4,93,0,0,710.4,710.4,,High floor,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Direct Website,Direct,0,Executive King,164.22,United Kingdom,Bronze,45-54,No,19,205.8
BKG000057,CS-2505-000057,2025-08-24,2025-09-11,2025-09-15,HTL005,GST00743,RT027,CH05,Flexible,Checked Out,1,0,1,4,114.11,0,456.44,0,456.44,0,0,22.82,456.44,433.62,Wren & Co.,Cot required,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Corporate Portal,Corporate,0.05,Superior King,115.67,United Kingdom,Non-member,25-34,Yes,18,114.11
BKG000058,CS-2605-000058,2026-04-23,2026-04-23,2026-04-24,HTL005,GST00701,RT027,CH07,Flexible,Checked Out,1,0,1,1,131.23,0.05,131.23,6.56,124.67,18,0,0,142.67,142.67,,Accessible room,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Walk-in,Direct,0,Superior King,115.67,United Kingdom,Non-member,45-54,Yes,0,124.67
BKG000059,CS-2604-000059,2026-07-10,2026-08-18,2026-08-20,HTL004,GST01627,RT022,CH03,Flexible,Checked Out,2,1,1,2,231.66,0,463.32,0,463.32,0,0,69.5,463.32,393.82,,Near lift,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Booking.com,OTA,0.15,Family Room,157.44,United Kingdom,Non-member,25-34,Yes,39,231.66
BKG000060,CS-2603-000060,2026-07-08,2026-08-05,2026-08-08,HTL003,GST00460,RT015,CH01,Flexible,Checked Out,2,0,1,3,145.54,0,436.62,0,436.62,147,0,0,583.62,583.62,,,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Direct Website,Direct,0,Superior King,112.37,United Kingdom,Bronze,65+,Yes,28,145.54
BKG000061,CS-2603-000061,2026-08-13,2026-08-19,2026-08-23,HTL003,GST00482,RT013,CH05,Flexible,Checked Out,2,0,1,4,104.25,0,417,0,417,188,0,20.85,605,584.15,Cobalt Media,,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Corporate Portal,Corporate,0.05,Standard Double,89.25,United Kingdom,Non-member,35-44,Yes,6,104.25
BKG000062,CS-2503-000062,2025-09-18,2025-10-01,2025-10-04,HTL003,GST01181,RT013,CH03,Weekend Break,Checked Out,2,0,1,3,81.62,0.1,244.86,24.49,220.37,93,0,33.06,313.37,280.31,,Cot required,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Booking.com,OTA,0.15,Standard Double,89.25,United Kingdom,Gold,45-54,Yes,13,73.46
BKG000063,CS-2501-000063,2025-11-21,2025-12-10,2025-12-12,HTL001,GST01275,RT002,CH03,Advance Purchase,Checked Out,1,0,1,2,123.74,0.05,247.48,12.37,235.11,0,0,35.27,235.11,199.84,,Away from lift,,,Crownstone Regent Quay,London,London,City Centre,Owned,1.34,Booking.com,OTA,0.15,Standard Twin,126.62,United Kingdom,Non-member,35-44,No,19,117.56
BKG000064,CS-2504-000064,2025-04-05,2025-04-13,2025-04-14,HTL004,GST00986,RT024,CH06,Advance Purchase,Checked Out,1,0,1,1,194.58,0.1,194.58,19.46,175.12,0,0,17.51,175.12,157.61,,Late arrival,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Travel Agent,Agency,0.1,Junior Suite,215.58,United Kingdom,Silver,55-64,Yes,8,175.12
BKG000065,CS-2402-000065,2024-12-01,2024-12-06,2024-12-09,HTL002,GST00012,RT008,CH03,Advance Purchase,Checked Out,1,0,1,3,124.54,0.1,373.62,37.36,336.26,0,0,50.44,336.26,285.82,,Near lift,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Booking.com,OTA,0.15,Standard Twin,100.55,France,Silver,55-64,No,5,112.09
BKG000066,CS-2405-000066,2024-09-25,2024-10-12,2024-10-15,HTL005,GST01510,RT029,CH06,Corporate,Checked Out,1,0,1,3,137.99,0.12,413.97,49.68,364.29,241.41,0,36.43,605.7,569.27,Cobalt Media,Accessible room,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Travel Agent,Agency,0.1,Executive King,141.81,United Kingdom,Silver,25-34,Yes,17,121.43
BKG000067,CS-2501-000067,2025-01-01,2025-01-08,2025-01-10,HTL001,GST00418,RT003,CH02,Advance Purchase,Checked Out,2,0,1,2,113.37,0.1,226.74,22.67,204.07,62,0,0,266.07,266.07,,,,,Crownstone Regent Quay,London,London,City Centre,Owned,1.34,Direct Phone,Direct,0,Superior King,158.01,India,Bronze,25-34,No,7,102.03
