CostRecordID,HotelID,MonthStart,CostCategory,BudgetGBP,ActualGBP,VarianceGBP
CST000099,HTL005,2024-02-01,Other Operating Costs,5582.19,6031.14,448.95
CST000100,HTL006,2024-02-01,Payroll & Agency Staff,25826.02,23703.47,-2122.55
CST000101,HTL006,2024-02-01,Utilities,5195.08,6095.22,900.15
CST000102,HTL006,2024-02-01,Housekeeping Supplies,3428.18,3736.59,308.41
CST000103,HTL006,2024-02-01,Maintenance & Repairs,4134.6,4365.7,231.1
CST000104,HTL006,2024-02-01,Food & Beverage Supplies,8320.18,8623.81,303.63
CST000105,HTL006,2024-02-01,Marketing,2975.45,2925.89,-49.56
CST000106,HTL006,2024-02-01,Property & Insurance,9541.42,10198.74,657.32
CST000107,HTL006,2024-02-01,Technology & Systems,2117.96,2232.59,114.63
CST000108,HTL006,2024-02-01,Other Operating Costs,5501.61,5865.03,363.41
CST000109,HTL001,2024-03-01,Payroll & Agency Staff,60224.83,55469.6,-4755.24
CST000110,HTL001,2024-03-01,Utilities,11525.63,11800.05,274.42
CST000111,HTL001,2024-03-01,Housekeeping Supplies,7622.32,8169.03,546.71
CST000112,HTL001,2024-03-01,Maintenance & Repairs,9414.11,9772.22,358.11
CST000113,HTL001,2024-03-01,Food & Beverage Supplies,18854.46,20821.69,1967.22
CST000114,HTL001,2024-03-01,Marketing,7150.06,9171.92,2021.86
CST000115,HTL001,2024-03-01,Property & Insurance,21134.9,23328.83,2193.93
CST000116,HTL001,2024-03-01,Technology & Systems,4731.95,5133.44,401.49
CST000117,HTL001,2024-03-01,Other Operating Costs,13145.16,14540.39,1395.23
CST000118,HTL002,2024-03-01,Payroll & Agency Staff,37989.9,36813.68,-1176.22
CST000119,HTL002,2024-03-01,Utilities,7517.01,8154.97,637.96
CST000120,HTL002,2024-03-01,Housekeeping Supplies,5190.43,5562.97,372.54
CST000121,HTL002,2024-03-01,Maintenance & Repairs,6003.12,6500.24,497.13
CST000122,HTL002,2024-03-01,Food & Beverage Supplies,11848.94,11121.04,-727.9
CST000123,HTL002,2024-03-01,Marketing,4409.1,5174.24,765.14
CST000124,HTL002,2024-03-01,Property & Insurance,13746.03,13717.6,-28.43
CST000125,HTL002,2024-03-01,Technology & Systems,3247.46,3248.76,1.31
CST000126,HTL002,2024-03-01,Other Operating Costs,8484.99,8681.25,196.27
CST000127,HTL003,2024-03-01,Payroll & Agency Staff,31491.16,34601.09,3109.92
CST000128,HTL003,2024-03-01,Utilities,6603.87,6986.96,383.09
CST000129,HTL003,2024-03-01,Housekeeping Supplies,4320.45,4221,-99.46
CST000130,HTL003,2024-03-01,Maintenance & Repairs,5062.98,5521.35,458.37
CST000131,HTL003,2024-03-01,Food & Beverage Supplies,10134.71,10915.11,780.4
CST000132,HTL003,2024-03-01,Marketing,3840.05,4957.4,1117.36
CST000133,HTL003,2024-03-01,Property & Insurance,11724.88,12752.68,1027.8
CST000134,HTL003,2024-03-01,Technology & Systems,2721.34,2660.19,-61.15
CST000135,HTL003,2024-03-01,Other Operating Costs,7327.81,6861.76,-466.05
CST000136,HTL004,2024-03-01,Payroll & Agency Staff,36469.11,40550.37,4081.26
CST000137,HTL004,2024-03-01,Utilities,7455.26,7267.16,-188.1
CST000138,HTL004,2024-03-01,Housekeeping Supplies,4921.69,5257.28,335.6
CST000139,HTL004,2024-03-01,Maintenance & Repairs,5803.71,6471.34,667.63
CST000140,HTL004,2024-03-01,Food & Beverage Supplies,12000.41,13137.69,1137.28
CST000141,HTL004,2024-03-01,Marketing,4446.14,5653.28,1207.15
CST000142,HTL004,2024-03-01,Property & Insurance,13140.56,14264.67,1124.11
CST000143,HTL004,2024-03-01,Technology & Systems,3014.97,2757.2,-257.76
CST000144,HTL004,2024-03-01,Other Operating Costs,7956.48,8147.08,190.6
CST000145,HTL005,2024-03-01,Payroll & Agency Staff,27395,25294.89,-2100.12
CST000146,HTL005,2024-03-01,Utilities,5566.88,5466.34,-100.53
CST000147,HTL005,2024-03-01,Housekeeping Supplies,3621.82,3505.25,-116.57
CST000148,HTL005,2024-03-01,Maintenance & Repairs,4301.31,4773.56,472.24
CST000149,HTL005,2024-03-01,Food & Beverage Supplies,8366.01,8878.23,512.22
CST000150,HTL005,2024-03-01,Marketing,3257.33,4228.09,970.77
CST000151,HTL005,2024-03-01,Property & Insurance,9622.09,9613.95,-8.14
CST000152,HTL005,2024-03-01,Technology & Systems,2312.34,2375.44,63.1
CST000153,HTL005,2024-03-01,Other Operating Costs,5922.71,6574.83,652.11
CST000154,HTL006,2024-03-01,Payroll & Agency Staff,28729.84,31632.33,2902.49
CST000155,HTL006,2024-03-01,Utilities,5730.28,5952.96,222.68
CST000156,HTL006,2024-03-01,Housekeeping Supplies,3805.46,4036.05,230.59
CST000157,HTL006,2024-03-01,Maintenance & Repairs,4271.38,4287.03,15.65
CST000158,HTL006,2024-03-01,Food & Beverage Supplies,8824.96,8871.29,46.32
CST000159,HTL006,2024-03-01,Marketing,3414.66,4117.68,703.03
CST000160,HTL006,2024-03-01,Property & Insurance,9847.05,10163.68,316.62
CST000161,HTL006,2024-03-01,Technology & Systems,2304.68,2165.46,-139.23
CST000162,HTL006,2024-03-01,Other Operating Costs,6003.91,5810.16,-193.75
CST000163,HTL001,2024-04-01,Payroll & Agency Staff,61505.78,68784.55,7278.77
CST000164,HTL001,2024-04-01,Utilities,12662.88,12086.89,-575.98
CST000165,HTL001,2024-04-01,Housekeeping Supplies,8230.6,8639.19,408.59
CST000166,HTL001,2024-04-01,Maintenance & Repairs,10146.61,15012.32,4865.71
CST000167,HTL001,2024-04-01,Food & Beverage Supplies,20518,19193.26,-1324.74
CST000168,HTL001,2024-04-01,Marketing,7502.75,8763.11,1260.35
CST000169,HTL001,2024-04-01,Property & Insurance,22331.68,22343.4,11.71
CST000170,HTL001,2024-04-01,Technology & Systems,5300.25,5834.42,534.17
CST000171,HTL001,2024-04-01,Other Operating Costs,13674.71,12463.21,-1211.5
CST000172,HTL002,2024-04-01,Payroll & Agency Staff,41508.73,40211.36,-1297.37
CST000173,HTL002,2024-04-01,Utilities,8069.78,7421.02,-648.77
CST000174,HTL002,2024-04-01,Housekeeping Supplies,5214.01,4941.3,-272.7
CST000175,HTL002,2024-04-01,Maintenance & Repairs,6595.48,7127.7,532.22
CST000176,HTL002,2024-04-01,Food & Beverage Supplies,12959.55,13735.81,776.25
CST000177,HTL002,2024-04-01,Marketing,4724.21,5736.67,1012.45
CST000178,HTL002,2024-04-01,Property & Insurance,14154.43,13559.06,-595.38
CST000179,HTL002,2024-04-01,Technology & Systems,3583.89,3660.65,76.76
CST000180,HTL002,2024-04-01,Other Operating Costs,8952.3,8398.61,-553.69
CST000181,HTL003,2024-04-01,Payroll & Agency Staff,35701.22,39870.41,4169.19
CST000182,HTL003,2024-04-01,Utilities,7013.31,7689.01,675.71
CST000183,HTL003,2024-04-01,Housekeeping Supplies,4733.02,4425.86,-307.16
CST000184,HTL003,2024-04-01,Maintenance & Repairs,5697.34,5726.26,28.92
CST000185,HTL003,2024-04-01,Food & Beverage Supplies,10611.37,11063.13,451.76
CST000186,HTL003,2024-04-01,Marketing,3983.93,5119.65,1135.73
CST000187,HTL003,2024-04-01,Property & Insurance,12606.27,13514.12,907.85
CST000188,HTL003,2024-04-01,Technology & Systems,3014.92,2816.76,-198.16
CST000189,HTL003,2024-04-01,Other Operating Costs,7651.74,7654.19,2.45
CST000190,HTL004,2024-04-01,Payroll & Agency Staff,39722.94,43652.77,3929.84
CST000191,HTL004,2024-04-01,Utilities,7759.52,7302.73,-456.79
CST000192,HTL004,2024-04-01,Housekeeping Supplies,5031.69,4769.86,-261.82
CST000193,HTL004,2024-04-01,Maintenance & Repairs,6103.25,6668.23,564.99
CST000194,HTL004,2024-04-01,Food & Beverage Supplies,12772.93,13370.02,597.09
CST000195,HTL004,2024-04-01,Marketing,4513.45,5454.99,941.55
CST000196,HTL004,2024-04-01,Property & Insurance,14211.91,13644.44,-567.47
CST000197,HTL004,2024-04-01,Technology & Systems,3389.03,3434.92,45.9
CST000198,HTL004,2024-04-01,Other Operating Costs,8645.77,9365.99,720.22
CST000199,HTL005,2024-04-01,Payroll & Agency Staff,29473.66,31634.42,2160.76
CST000200,HTL005,2024-04-01,Utilities,5688.1,6315.27,627.18
CST000201,HTL005,2024-04-01,Housekeeping Supplies,3978.7,3929.95,-48.75
CST000202,HTL005,2024-04-01,Maintenance & Repairs,4725.49,4393.45,-332.04
CST000203,HTL005,2024-04-01,Food & Beverage Supplies,9436.46,9368.23,-68.23
CST000204,HTL005,2024-04-01,Marketing,3542.52,3920.79,378.28
CST000205,HTL005,2024-04-01,Property & Insurance,10529.15,11642.88,1113.73
CST000206,HTL005,2024-04-01,Technology & Systems,2411.69,2356.42,-55.27
CST000207,HTL005,2024-04-01,Other Operating Costs,6230.65,6219.96,-10.69
CST000208,HTL006,2024-04-01,Payroll & Agency Staff,30924.11,28145.65,-2778.46
CST000209,HTL006,2024-04-01,Utilities,5902.27,6223.87,321.6
CST000210,HTL006,2024-04-01,Housekeeping Supplies,3980.53,4043.25,62.71
CST000211,HTL006,2024-04-01,Maintenance & Repairs,4867.67,4603.9,-263.77
CST000212,HTL006,2024-04-01,Food & Beverage Supplies,9426.42,10392.88,966.46
CST000213,HTL006,2024-04-01,Marketing,3548.51,4325.13,776.62
CST000214,HTL006,2024-04-01,Property & Insurance,10552.96,10844.86,291.89
CST000215,HTL006,2024-04-01,Technology & Systems,2517.02,2812.42,295.4
CST000216,HTL006,2024-04-01,Other Operating Costs,6509.39,6047.2,-462.18
CST000217,HTL001,2024-05-01,Payroll & Agency Staff,67330.12,67927.74,597.62
CST000218,HTL001,2024-05-01,Utilities,12598.43,13982.54,1384.1
CST000219,HTL001,2024-05-01,Housekeeping Supplies,8502.58,9393.2,890.62
CST000220,HTL001,2024-05-01,Maintenance & Repairs,10187.49,9595.55,-591.95
CST000221,HTL001,2024-05-01,Food & Beverage Supplies,20839.28,19071.92,-1767.36
CST000222,HTL001,2024-05-01,Marketing,8032.8,8830.74,797.94
CST000223,HTL001,2024-05-01,Property & Insurance,23934.9,24087.94,153.04
CST000224,HTL001,2024-05-01,Technology & Systems,5560.35,5436.74,-123.61
CST000225,HTL001,2024-05-01,Other Operating Costs,14325.26,15596.29,1271.03
CST000226,HTL002,2024-05-01,Payroll & Agency Staff,44408.28,44608.12,199.84
CST000227,HTL002,2024-05-01,Utilities,8404.05,7729.64,-674.41
CST000228,HTL002,2024-05-01,Housekeeping Supplies,5578.96,5896.28,317.32
CST000229,HTL002,2024-05-01,Maintenance & Repairs,7042.05,6789.1,-252.95
CST000230,HTL002,2024-05-01,Food & Beverage Supplies,14227.01,13047.3,-1179.71
CST000231,HTL002,2024-05-01,Marketing,5345.14,5423.42,78.28
CST000232,HTL002,2024-05-01,Property & Insurance,15238.23,15995.83,757.61
CST000233,HTL002,2024-05-01,Technology & Systems,3598.14,3756.47,158.33
CST000234,HTL002,2024-05-01,Other Operating Costs,9817.35,9563.67,-253.68
CST000235,HTL003,2024-05-01,Payroll & Agency Staff,37450.17,40166.06,2715.89
CST000236,HTL003,2024-05-01,Utilities,7439.34,8255.62,816.27
CST000237,HTL003,2024-05-01,Housekeeping Supplies,5010.1,5471.93,461.83
CST000238,HTL003,2024-05-01,Maintenance & Repairs,5723.09,6210.84,487.75
CST000239,HTL003,2024-05-01,Food & Beverage Supplies,11676.11,11808.28,132.17
CST000240,HTL003,2024-05-01,Marketing,4351.09,4098.25,-252.85
CST000241,HTL003,2024-05-01,Property & Insurance,13530.8,14840.51,1309.71
CST000242,HTL003,2024-05-01,Technology & Systems,3171.94,3133.47,-38.46
CST000243,HTL003,2024-05-01,Other Operating Costs,7999.04,7784.29,-214.75
CST000244,HTL004,2024-05-01,Payroll & Agency Staff,42864.22,43923.13,1058.9
CST000245,HTL004,2024-05-01,Utilities,8379.35,8486.68,107.33
CST000246,HTL004,2024-05-01,Housekeeping Supplies,5368.33,5464.21,95.88
CST000247,HTL004,2024-05-01,Maintenance & Repairs,6808.34,7328.51,520.16
CST000248,HTL004,2024-05-01,Food & Beverage Supplies,13532.43,12846.84,-685.59
CST000249,HTL004,2024-05-01,Marketing,4959.51,5519.37,559.86
CST000250,HTL004,2024-05-01,Property & Insurance,14584.59,15338.72,754.14
CST000251,HTL004,2024-05-01,Technology & Systems,3621.69,3491.12,-130.57
CST000252,HTL004,2024-05-01,Other Operating Costs,9137.56,8924.75,-212.81
CST000253,HTL005,2024-05-01,Payroll & Agency Staff,30084.49,31986.69,1902.2
CST000254,HTL005,2024-05-01,Utilities,6054.71,5951.93,-102.78
CST000255,HTL005,2024-05-01,Housekeeping Supplies,4111.82,3776.21,-335.61
CST000256,HTL005,2024-05-01,Maintenance & Repairs,4798.11,5043.51,245.41
CST000257,HTL005,2024-05-01,Food & Beverage Supplies,9838.96,10060.61,221.65
CST000258,HTL005,2024-05-01,Marketing,3809.37,4170.97,361.6
CST000259,HTL005,2024-05-01,Property & Insurance,11245.71,12092.75,847.04
CST000260,HTL005,2024-05-01,Technology & Systems,2682.07,2722.64,40.58
CST000261,HTL005,2024-05-01,Other Operating Costs,6639.68,7147.75,508.07
CST000262,HTL006,2024-05-01,Payroll & Agency Staff,31272.35,32022.27,749.92
CST000263,HTL006,2024-05-01,Utilities,6202.39,6476.1,273.71
CST000264,HTL006,2024-05-01,Housekeeping Supplies,4300.47,4696.78,396.31
CST000265,HTL006,2024-05-01,Maintenance & Repairs,4895.79,5136.03,240.24
CST000266,HTL006,2024-05-01,Food & Beverage Supplies,9743.2,9054.63,-688.57
CST000267,HTL006,2024-05-01,Marketing,3914.81,3673.86,-240.95
CST000268,HTL006,2024-05-01,Property & Insurance,11717.09,12838.12,1121.03
CST000269,HTL006,2024-05-01,Technology & Systems,2745.26,2539.54,-205.72
CST000270,HTL006,2024-05-01,Other Operating Costs,7248.19,6879.84,-368.35
CST000271,HTL001,2024-06-01,Payroll & Agency Staff,66882.17,62655.38,-4226.79
CST000272,HTL001,2024-06-01,Utilities,13864.77,13460.83,-403.94
CST000273,HTL001,2024-06-01,Housekeeping Supplies,8797.97,8934.15,136.17
CST000274,HTL001,2024-06-01,Maintenance & Repairs,10563.56,10235.97,-327.59
CST000275,HTL001,2024-06-01,Food & Beverage Supplies,21315.29,21256.73,-58.56
CST000276,HTL001,2024-06-01,Marketing,8495.82,8925.42,429.59
CST000277,HTL001,2024-06-01,Property & Insurance,23751.73,24092.49,340.76
CST000278,HTL001,2024-06-01,Technology & Systems,5938.99,6623.79,684.79
CST000279,HTL001,2024-06-01,Other Operating Costs,15578.69,16684.46,1105.77
CST000280,HTL002,2024-06-01,Payroll & Agency Staff,44717.55,47231.58,2514.03
CST000281,HTL002,2024-06-01,Utilities,9244.14,8834.8,-409.34
CST000282,HTL002,2024-06-01,Housekeeping Supplies,6156.91,6143.54,-13.37
CST000283,HTL002,2024-06-01,Maintenance & Repairs,7170.95,7085.17,-85.78
CST000284,HTL002,2024-06-01,Food & Beverage Supplies,14259.38,14184.84,-74.54
CST000285,HTL002,2024-06-01,Marketing,5438.34,5961.81,523.48
CST000286,HTL002,2024-06-01,Property & Insurance,15789.24,17008.89,1219.65
CST000287,HTL002,2024-06-01,Technology & Systems,3959.88,3828,-131.88
CST000288,HTL002,2024-06-01,Other Operating Costs,9733.02,10148.02,415
CST000289,HTL003,2024-06-01,Payroll & Agency Staff,37623.2,41991.64,4368.44
CST000290,HTL003,2024-06-01,Utilities,7641.19,7022.17,-619.02
CST000291,HTL003,2024-06-01,Housekeeping Supplies,5087.39,5255.75,168.36
CST000292,HTL003,2024-06-01,Maintenance & Repairs,6013.5,6192.09,178.59
CST000293,HTL003,2024-06-01,Food & Beverage Supplies,11719.35,11581.79,-137.56
CST000294,HTL003,2024-06-01,Marketing,4530.73,4492.14,-38.59
CST000295,HTL003,2024-06-01,Property & Insurance,13867.34,14131.23,263.89
CST000296,HTL003,2024-06-01,Technology & Systems,3302.35,3015.21,-287.14
CST000297,HTL003,2024-06-01,Other Operating Costs,8681.89,8367.59,-314.3
CST000298,HTL004,2024-06-01,Payroll & Agency Staff,45163.06,42334.67,-2828.38
CST000299,HTL004,2024-06-01,Utilities,8459.31,8695.65,236.35
CST000300,HTL004,2024-06-01,Housekeeping Supplies,5922.91,6550.89,627.99
CST000301,HTL004,2024-06-01,Maintenance & Repairs,6779.36,7090.89,311.53
CST000302,HTL004,2024-06-01,Food & Beverage Supplies,13682.73,13775.89,93.16
CST000303,HTL004,2024-06-01,Marketing,5352.64,5462.53,109.89
CST000304,HTL004,2024-06-01,Property & Insurance,14892.67,16530.73,1638.07
CST000305,HTL004,2024-06-01,Technology & Systems,3718.66,3490.14,-228.53
CST000306,HTL004,2024-06-01,Other Operating Costs,9339.34,9481.98,142.64
CST000307,HTL005,2024-06-01,Payroll & Agency Staff,32754.78,32009.87,-744.91
CST000308,HTL005,2024-06-01,Utilities,6372.73,6247.71,-125.02
CST000309,HTL005,2024-06-01,Housekeeping Supplies,4255.7,3963.26,-292.44
CST000310,HTL005,2024-06-01,Maintenance & Repairs,5146.31,5097.83,-48.48
CST000311,HTL005,2024-06-01,Food & Beverage Supplies,10541.95,10727.42,185.47
CST000312,HTL005,2024-06-01,Marketing,3743.77,3554.74,-189.03
CST000313,HTL005,2024-06-01,Property & Insurance,11810.36,11465.5,-344.85
CST000314,HTL005,2024-06-01,Technology & Systems,2835.59,2804.4,-31.18
CST000315,HTL005,2024-06-01,Other Operating Costs,7029.01,6592.73,-436.27
CST000316,HTL006,2024-06-01,Payroll & Agency Staff,32446.25,31235.95,-1210.3
CST000317,HTL006,2024-06-01,Utilities,6546.68,6989.39,442.72
CST000318,HTL006,2024-06-01,Housekeeping Supplies,4476.98,4440.12,-36.86
CST000319,HTL006,2024-06-01,Maintenance & Repairs,5173.29,5713.12,539.83
CST000320,HTL006,2024-06-01,Food & Beverage Supplies,10778.84,10453.83,-325.02
CST000321,HTL006,2024-06-01,Marketing,3890.93,3703.17,-187.76
CST000322,HTL006,2024-06-01,Property & Insurance,12185.71,12760.71,575
CST000323,HTL006,2024-06-01,Technology & Systems,2875.77,2673.57,-202.2
CST000324,HTL006,2024-06-01,Other Operating Costs,7464.22,7219.71,-244.51
CST000325,HTL001,2024-07-01,Payroll & Agency Staff,70351.74,74938.65,4586.91
CST000326,HTL001,2024-07-01,Utilities,14362.3,14590.82,228.52
CST000327,HTL001,2024-07-01,Housekeeping Supplies,9945.45,9689.47,-255.98
CST000328,HTL001,2024-07-01,Maintenance & Repairs,11407.01,12309.15,902.13
CST000329,HTL001,2024-07-01,Food & Beverage Supplies,23748.55,25389.26,1640.71
CST000330,HTL001,2024-07-01,Marketing,8394.34,8287.75,-106.59
CST000331,HTL001,2024-07-01,Property & Insurance,26386.4,28211.57,1825.17
CST000332,HTL001,2024-07-01,Technology & Systems,6284.36,6776.55,492.19
CST000333,HTL001,2024-07-01,Other Operating Costs,16390.98,16723.98,332.99
CST000334,HTL002,2024-07-01,Payroll & Agency Staff,48772.95,51216.75,2443.8
CST000335,HTL002,2024-07-01,Utilities,9298.25,9493.39,195.15
CST000336,HTL002,2024-07-01,Housekeeping Supplies,6105.26,6245.66,140.4
CST000337,HTL002,2024-07-01,Maintenance & Repairs,7785.22,7351.75,-433.46
CST000338,HTL002,2024-07-01,Food & Beverage Supplies,14994.5,14673.12,-321.39
CST000339,HTL002,2024-07-01,Marketing,5790.87,6129.03,338.16
CST000340,HTL002,2024-07-01,Property & Insurance,17690.34,17466.53,-223.82
CST000341,HTL002,2024-07-01,Technology & Systems,3932.25,4381.88,449.63
CST000342,HTL002,2024-07-01,Other Operating Costs,10517.27,10042.65,-474.62
CST000343,HTL003,2024-07-01,Payroll & Agency Staff,41440.95,45582.47,4141.52
