PaymentID,BookingID,PaymentDate,PaymentMethod,AmountGBP,PaymentStatus,ProcessingFeeGBP,Currency,PaymentSource
PAY0000076,BKG000073,2026-03-25,Google Pay,412.52,Captured,7.43,GBP,Payment Gateway
PAY0000077,BKG000074,2026-03-03,Mastercard,248.66,Captured,3.48,GBP,Payment Gateway
PAY0000078,BKG000075,2026-01-22,Mastercard,269.69,Captured,3.24,GBP,Payment Gateway
PAY0000079,BKG000076,2024-05-29,Mastercard,109.8,Captured,1.98,GBP,Payment Gateway
PAY0000080,BKG000078,2026-07-09,Cash,541.47,Captured,0,GBP,Front Desk/PMS
PAY0000081,BKG000079,2024-06-09,Cash,625.06,Captured,0,GBP,Front Desk/PMS
PAY0000082,BKG000080,2024-10-01,Cash,530.85,Captured,0,GBP,Front Desk/PMS
PAY0000083,BKG000081,2025-08-16,Bank Transfer,311.1,Captured,0,GBP,Payment Gateway
PAY0000084,BKG000083,2025-02-12,Mastercard,95.22,Captured,1.52,GBP,Payment Gateway
PAY0000085,BKG000084,2025-01-16,Visa,117.41,Captured,1.64,GBP,Payment Gateway
PAY0000086,BKG000085,2025-07-21,Visa,173.93,Captured,2.09,GBP,Payment Gateway
PAY0000087,BKG000085,2025-08-20,Mastercard,521.78,Captured,6.26,GBP,Payment Gateway
PAY0000088,BKG000086,2024-09-03,Cash,580.52,Captured,0,GBP,Front Desk/PMS
PAY0000089,BKG000087,2026-08-21,Cash,262.04,Captured,0,GBP,Front Desk/PMS
PAY0000090,BKG000089,2024-12-28,Apple Pay,632.74,Captured,8.86,GBP,Payment Gateway
PAY0000091,BKG000090,2025-07-24,American Express,274.05,Captured,3.29,GBP,Payment Gateway
PAY0000092,BKG000091,2024-04-03,Visa,99.11,Captured,1.39,GBP,Payment Gateway
PAY0000093,BKG000093,2025-03-25,Apple Pay,142.22,Captured,2.56,GBP,Payment Gateway
PAY0000094,BKG000094,2026-02-07,Visa,231.74,Captured,3.71,GBP,Payment Gateway
PAY0000095,BKG000095,2024-10-25,Mastercard,1573.32,Captured,28.32,GBP,Payment Gateway
PAY0000096,BKG000096,2024-10-08,Cash,201.3,Captured,0,GBP,Front Desk/PMS
PAY0000097,BKG000097,2025-11-06,Google Pay,154.86,Captured,2.79,GBP,Payment Gateway
PAY0000098,BKG000098,2025-06-30,Visa,195.46,Captured,2.74,GBP,Payment Gateway
PAY0000099,BKG000098,2025-07-17,Mastercard,586.39,Captured,7.04,GBP,Payment Gateway
PAY0000100,BKG000099,2024-11-08,Visa,590.42,Captured,10.63,GBP,Payment Gateway
PAY0000101,BKG000100,2024-12-11,Cash,160.13,Captured,0,GBP,Front Desk/PMS
PAY0000102,BKG000101,2024-01-30,Apple Pay,136.14,Captured,1.91,GBP,Payment Gateway
PAY0000103,BKG000103,2025-04-21,Cash,531.02,Captured,0,GBP,Front Desk/PMS
PAY0000104,BKG000104,2025-11-26,Visa,891.52,Captured,16.05,GBP,Payment Gateway
PAY0000105,BKG000106,2024-07-09,Mastercard,835.2,Captured,10.02,GBP,Payment Gateway
PAY0000106,BKG000107,2024-01-31,Visa,94.87,Captured,1.14,GBP,Payment Gateway
PAY0000107,BKG000108,2025-02-15,Apple Pay,1234.34,Captured,17.28,GBP,Payment Gateway
PAY0000108,BKG000109,2025-09-19,Mastercard,241.18,Captured,3.38,GBP,Payment Gateway
PAY0000109,BKG000110,2024-09-21,Apple Pay,171.92,Captured,2.41,GBP,Payment Gateway
PAY0000110,BKG000112,2024-08-25,Visa,189.48,Captured,2.27,GBP,Payment Gateway
PAY0000111,BKG000113,2025-05-11,Visa,888.39,Captured,14.21,GBP,Payment Gateway
PAY0000112,BKG000114,2024-02-17,Cash,637.59,Captured,0,GBP,Front Desk/PMS
PAY0000113,BKG000115,2025-05-25,Visa,194.13,Captured,3.49,GBP,Payment Gateway
PAY0000114,BKG000115,2025-06-27,Visa,582.4,Captured,6.99,GBP,Payment Gateway
PAY0000115,BKG000116,2024-09-06,Mastercard,541.16,Captured,6.49,GBP,Payment Gateway
PAY0000116,BKG000117,2025-12-06,American Express,215.38,Captured,3.02,GBP,Payment Gateway
PAY0000117,BKG000118,2024-06-10,Visa,367.43,Captured,6.61,GBP,Payment Gateway
PAY0000118,BKG000119,2024-05-21,Visa,575.42,Captured,10.36,GBP,Payment Gateway
PAY0000119,BKG000120,2026-08-01,American Express,1738,Captured,20.86,GBP,Payment Gateway
PAY0000120,BKG000121,2024-10-01,Visa,176.33,Captured,2.47,GBP,Payment Gateway
PAY0000121,BKG000122,2025-10-01,Bank Transfer,143.01,Captured,0,GBP,Payment Gateway
PAY0000122,BKG000123,2024-06-09,Bank Transfer,278.91,Captured,0,GBP,Payment Gateway
PAY0000123,BKG000124,2024-07-02,American Express,297.8,Captured,3.57,GBP,Payment Gateway
PAY0000124,BKG000126,2025-12-09,Apple Pay,298.13,Captured,5.37,GBP,Payment Gateway
PAY0000125,BKG000127,2024-08-29,Mastercard,422.64,Captured,5.92,GBP,Payment Gateway
PAY0000126,BKG000128,2025-09-09,Mastercard,317.64,Captured,5.08,GBP,Payment Gateway
PAY0000127,BKG000129,2024-08-05,Apple Pay,187.2,Captured,3.37,GBP,Payment Gateway
PAY0000128,BKG000130,2025-05-08,Visa,308.54,Captured,3.7,GBP,Payment Gateway
PAY0000129,BKG000131,2026-06-17,Bank Transfer,106.79,Captured,0,GBP,Payment Gateway
PAY0000130,BKG000132,2024-08-30,Visa,169.32,Captured,2.03,GBP,Payment Gateway
PAY0000131,BKG000133,2024-06-26,Visa,536.49,Captured,9.66,GBP,Payment Gateway
PAY0000132,BKG000134,2024-08-04,Bank Transfer,167.16,Captured,0,GBP,Payment Gateway
PAY0000133,BKG000134,2024-11-03,Mastercard,501.5,Captured,6.02,GBP,Payment Gateway
PAY0000134,BKG000135,2026-05-28,Cash,584.61,Captured,0,GBP,Front Desk/PMS
PAY0000135,BKG000136,2025-02-23,Bank Transfer,157.28,Captured,0,GBP,Payment Gateway
PAY0000136,BKG000137,2024-03-09,Mastercard,58.41,Captured,1.05,GBP,Payment Gateway
PAY0000137,BKG000137,2024-03-11,American Express,175.22,Captured,3.15,GBP,Payment Gateway
PAY0000138,BKG000139,2024-02-14,Mastercard,705.27,Captured,12.69,GBP,Payment Gateway
PAY0000139,BKG000140,2026-07-01,Visa,519.84,Captured,7.28,GBP,Payment Gateway
PAY0000140,BKG000141,2024-07-12,American Express,624.4,Captured,7.49,GBP,Payment Gateway
PAY0000141,BKG000142,2026-03-18,Mastercard,665.06,Captured,10.64,GBP,Payment Gateway
PAY0000142,BKG000144,2026-01-25,Visa,3255.23,Captured,52.08,GBP,Payment Gateway
PAY0000143,BKG000145,2026-06-10,Mastercard,203.43,Captured,2.44,GBP,Payment Gateway
PAY0000144,BKG000148,2024-05-16,Cash,264.93,Captured,0,GBP,Front Desk/PMS
PAY0000145,BKG000149,2026-06-27,Visa,83.67,Captured,1,GBP,Payment Gateway
PAY0000146,BKG000149,2026-07-31,Visa,251.02,Captured,4.02,GBP,Payment Gateway
PAY0000147,BKG000150,2026-08-10,Visa,140.62,Captured,1.69,GBP,Payment Gateway
PAY0000148,BKG000151,2026-06-09,Visa,829.95,Captured,14.94,GBP,Payment Gateway
PAY0000149,BKG000152,2024-08-13,Google Pay,487.08,Captured,7.79,GBP,Payment Gateway
PAY0000150,BKG000153,2025-03-11,Bank Transfer,1005.71,Captured,0,GBP,Payment Gateway
PAY0000151,BKG000154,2026-08-11,Mastercard,1781.86,Captured,28.51,GBP,Payment Gateway
PAY0000152,BKG000155,2026-07-06,Visa,988.55,Captured,17.79,GBP,Payment Gateway
PAY0000153,BKG000156,2024-09-22,Visa,523.88,Captured,8.38,GBP,Payment Gateway
PAY0000154,BKG000157,2026-02-01,Mastercard,175.91,Captured,2.81,GBP,Payment Gateway
PAY0000155,BKG000159,2025-10-19,Visa,355.48,Captured,4.27,GBP,Payment Gateway
PAY0000156,BKG000160,2024-01-24,Mastercard,341.13,Captured,6.14,GBP,Payment Gateway
PAY0000157,BKG000161,2024-12-08,Mastercard,384.08,Captured,6.15,GBP,Payment Gateway
PAY0000158,BKG000162,2025-10-29,Bank Transfer,334.71,Captured,0,GBP,Payment Gateway
PAY0000159,BKG000163,2026-06-12,American Express,370.02,Captured,5.92,GBP,Payment Gateway
PAY0000160,BKG000164,2024-04-03,Mastercard,776.48,Captured,12.42,GBP,Payment Gateway
PAY0000161,BKG000165,2025-10-14,Google Pay,305.18,Captured,5.49,GBP,Payment Gateway
PAY0000162,BKG000166,2026-01-22,American Express,1461.86,Captured,20.47,GBP,Payment Gateway
PAY0000163,BKG000167,2026-07-11,Mastercard,347.27,Captured,4.86,GBP,Payment Gateway
PAY0000164,BKG000167,2026-08-19,Mastercard,1041.8,Captured,16.67,GBP,Payment Gateway
PAY0000165,BKG000168,2025-03-04,American Express,266.16,Captured,3.73,GBP,Payment Gateway
PAY0000166,BKG000169,2025-06-07,Visa,247.83,Captured,4.46,GBP,Payment Gateway
PAY0000167,BKG000170,2024-06-20,Visa,701.29,Captured,9.82,GBP,Payment Gateway
PAY0000168,BKG000171,2025-10-19,Visa,591.92,Captured,10.65,GBP,Payment Gateway
PAY0000169,BKG000172,2026-04-24,Visa,840.26,Captured,10.08,GBP,Payment Gateway
PAY0000170,BKG000173,2024-12-09,American Express,141.7,Captured,2.27,GBP,Payment Gateway
PAY0000171,BKG000174,2024-05-13,Cash,350.66,Captured,0,GBP,Front Desk/PMS
PAY0000172,BKG000175,2025-10-17,American Express,590.11,Captured,9.44,GBP,Payment Gateway
PAY0000173,BKG000176,2026-07-02,Visa,436.19,Captured,6.98,GBP,Payment Gateway
PAY0000174,BKG000177,2024-10-26,Visa,390.39,Captured,5.47,GBP,Payment Gateway
PAY0000175,BKG000178,2024-03-07,Bank Transfer,119.62,Captured,0,GBP,Payment Gateway
PAY0000176,BKG000179,2024-08-26,Mastercard,530.72,Captured,6.37,GBP,Payment Gateway
PAY0000177,BKG000180,2025-08-17,Visa,396.14,Captured,7.13,GBP,Payment Gateway
PAY0000178,BKG000181,2024-02-14,Apple Pay,103.78,Captured,1.66,GBP,Payment Gateway
PAY0000179,BKG000182,2026-04-10,Mastercard,222.59,Captured,4.01,GBP,Payment Gateway
PAY0000180,BKG000183,2024-11-06,Visa,704.68,Captured,11.27,GBP,Payment Gateway
PAY0000181,BKG000185,2026-08-22,Apple Pay,213.93,Captured,3,GBP,Payment Gateway
PAY0000182,BKG000186,2026-02-21,Mastercard,888.5,Captured,10.66,GBP,Payment Gateway
PAY0000183,BKG000187,2025-12-19,Visa,178.38,Captured,3.21,GBP,Payment Gateway
PAY0000184,BKG000188,2025-03-24,Visa,714.35,Captured,10,GBP,Payment Gateway
PAY0000185,BKG000189,2025-08-11,Visa,426.4,Captured,5.97,GBP,Payment Gateway
PAY0000186,BKG000190,2024-01-27,Visa,138.51,Captured,1.66,GBP,Payment Gateway
PAY0000187,BKG000193,2024-05-12,Apple Pay,323.53,Captured,4.53,GBP,Payment Gateway
PAY0000188,BKG000194,2026-03-18,Mastercard,912.28,Captured,10.95,GBP,Payment Gateway
PAY0000189,BKG000195,2024-07-30,Cash,93.73,Captured,0,GBP,Front Desk/PMS
PAY0000190,BKG000195,2024-08-14,Visa,281.2,Captured,3.94,GBP,Payment Gateway
PAY0000191,BKG000196,2025-07-09,Visa,467.14,Captured,6.54,GBP,Payment Gateway
PAY0000192,BKG000197,2026-08-08,Visa,669.64,Captured,12.05,GBP,Payment Gateway
PAY0000193,BKG000198,2025-08-19,Visa,713.25,Captured,9.99,GBP,Payment Gateway
PAY0000194,BKG000199,2025-12-23,Visa,178.48,Captured,2.14,GBP,Payment Gateway
PAY0000195,BKG000200,2025-08-11,Mastercard,366.86,Captured,6.6,GBP,Payment Gateway
PAY0000196,BKG000201,2024-05-26,Google Pay,182.75,Captured,3.29,GBP,Payment Gateway
PAY0000197,BKG000203,2025-10-01,Mastercard,263.2,Captured,3.16,GBP,Payment Gateway
PAY0000198,BKG000204,2024-09-26,American Express,152.99,Captured,2.14,GBP,Payment Gateway
PAY0000199,BKG000205,2026-08-22,Visa,317.07,Captured,5.71,GBP,Payment Gateway
PAY0000200,BKG000205,2026-08-26,Visa,951.22,Captured,15.22,GBP,Payment Gateway
PAY0000201,BKG000206,2024-03-18,Mastercard,1136.7,Captured,20.46,GBP,Payment Gateway
PAY0000202,BKG000207,2024-12-30,Visa,109.33,Captured,1.31,GBP,Payment Gateway
PAY0000203,BKG000207,2025-02-06,Apple Pay,328,Captured,5.9,GBP,Payment Gateway
PAY0000204,BKG000208,2025-08-12,Cash,2058.85,Captured,0,GBP,Front Desk/PMS
PAY0000205,BKG000209,2025-04-25,Visa,317.92,Captured,5.09,GBP,Payment Gateway
PAY0000206,BKG000210,2026-04-06,Mastercard,856.4,Captured,15.42,GBP,Payment Gateway
PAY0000207,BKG000211,2024-11-14,Mastercard,539.12,Captured,8.63,GBP,Payment Gateway
PAY0000208,BKG000212,2024-06-28,Bank Transfer,284.33,Captured,0,GBP,Payment Gateway
PAY0000209,BKG000213,2025-06-16,Mastercard,179.21,Captured,2.15,GBP,Payment Gateway
PAY0000210,BKG000214,2024-11-07,Visa,64.21,Captured,0.77,GBP,Payment Gateway
PAY0000211,BKG000214,2024-11-25,Mastercard,192.62,Captured,3.47,GBP,Payment Gateway
PAY0000212,BKG000215,2025-12-06,Mastercard,335.72,Captured,6.04,GBP,Payment Gateway
PAY0000213,BKG000216,2024-11-23,American Express,396.5,Captured,6.34,GBP,Payment Gateway
PAY0000214,BKG000217,2025-03-04,Visa,305.04,Captured,4.88,GBP,Payment Gateway
PAY0000215,BKG000218,2025-05-08,Visa,241.67,Captured,2.9,GBP,Payment Gateway
PAY0000216,BKG000219,2024-11-14,Visa,200.79,Captured,3.61,GBP,Payment Gateway
PAY0000217,BKG000222,2025-05-25,Visa,248.73,Captured,4.48,GBP,Payment Gateway
PAY0000218,BKG000223,2026-07-12,Apple Pay,150.88,Captured,2.41,GBP,Payment Gateway
PAY0000219,BKG000224,2025-10-03,Visa,614.2,Captured,7.37,GBP,Payment Gateway
PAY0000220,BKG000225,2024-07-13,Mastercard,431.31,Captured,6.04,GBP,Payment Gateway
PAY0000221,BKG000226,2026-04-09,Mastercard,330.4,Captured,5.29,GBP,Payment Gateway
PAY0000222,BKG000227,2026-03-10,Mastercard,172.94,Captured,2.77,GBP,Payment Gateway
PAY0000223,BKG000229,2025-12-31,Visa,506.46,Captured,7.09,GBP,Payment Gateway
PAY0000224,BKG000230,2025-09-15,Apple Pay,1173.27,Captured,21.12,GBP,Payment Gateway
PAY0000225,BKG000231,2024-02-18,Visa,233.96,Captured,2.81,GBP,Payment Gateway
PAY0000226,BKG000232,2026-08-18,Mastercard,180.38,Captured,2.53,GBP,Payment Gateway
PAY0000227,BKG000233,2025-12-04,Bank Transfer,727.83,Captured,0,GBP,Payment Gateway
PAY0000228,BKG000234,2024-01-30,Visa,210.86,Captured,3.8,GBP,Payment Gateway
PAY0000229,BKG000236,2024-01-06,Mastercard,163.68,Captured,2.62,GBP,Payment Gateway
PAY0000230,BKG000236,2024-01-06,Google Pay,491.03,Captured,8.84,GBP,Payment Gateway
PAY0000231,BKG000237,2026-02-16,Visa,564.04,Captured,7.9,GBP,Payment Gateway
PAY0000232,BKG000238,2025-05-11,Apple Pay,1191.48,Captured,16.68,GBP,Payment Gateway
PAY0000233,BKG000239,2026-03-29,Visa,1272.88,Captured,22.91,GBP,Payment Gateway
PAY0000234,BKG000240,2026-03-17,Mastercard,178.4,Captured,2.85,GBP,Payment Gateway
PAY0000235,BKG000241,2025-05-11,Visa,697.46,Captured,12.55,GBP,Payment Gateway
PAY0000236,BKG000242,2024-03-20,Google Pay,175.86,Captured,2.81,GBP,Payment Gateway
PAY0000237,BKG000243,2024-12-17,Mastercard,1853.3,Captured,33.36,GBP,Payment Gateway
PAY0000238,BKG000244,2026-08-15,American Express,418.28,Captured,7.53,GBP,Payment Gateway
PAY0000239,BKG000245,2024-03-19,Google Pay,105.72,Captured,1.48,GBP,Payment Gateway
PAY0000240,BKG000246,2025-09-28,Visa,1002.04,Captured,12.02,GBP,Payment Gateway
PAY0000241,BKG000247,2026-01-02,Visa,431.8,Captured,5.18,GBP,Payment Gateway
PAY0000242,BKG000248,2024-05-07,Visa,1162.6,Captured,16.28,GBP,Payment Gateway
PAY0000243,BKG000249,2025-02-10,Google Pay,384.78,Captured,5.39,GBP,Payment Gateway
PAY0000244,BKG000250,2024-06-10,Visa,256.9,Captured,3.6,GBP,Payment Gateway
PAY0000245,BKG000251,2024-11-19,Google Pay,118.38,Captured,2.13,GBP,Payment Gateway
PAY0000246,BKG000252,2025-04-09,Mastercard,395.86,Captured,6.33,GBP,Payment Gateway
PAY0000247,BKG000254,2026-08-02,Visa,462,Captured,5.54,GBP,Payment Gateway
PAY0000248,BKG000255,2024-01-24,Mastercard,105.33,Captured,1.69,GBP,Payment Gateway
PAY0000249,BKG000256,2026-01-22,Visa,693.2,Captured,11.09,GBP,Payment Gateway
PAY0000250,BKG000257,2024-03-31,Mastercard,96.69,Captured,1.74,GBP,Payment Gateway
PAY0000251,BKG000257,2024-04-06,Mastercard,290.08,Captured,4.06,GBP,Payment Gateway
PAY0000252,BKG000258,2025-12-25,Mastercard,380.68,Captured,5.33,GBP,Payment Gateway
PAY0000253,BKG000259,2024-02-13,Mastercard,1178.79,Captured,14.15,GBP,Payment Gateway
PAY0000254,BKG000260,2026-07-26,American Express,213.94,Captured,3,GBP,Payment Gateway
PAY0000255,BKG000261,2026-07-04,Visa,149.82,Captured,2.4,GBP,Payment Gateway
PAY0000256,BKG000263,2025-10-07,Bank Transfer,427.15,Captured,0,GBP,Payment Gateway
PAY0000257,BKG000264,2025-03-17,Mastercard,172.94,Captured,2.08,GBP,Payment Gateway
PAY0000258,BKG000266,2025-11-18,Visa,97.93,Captured,1.18,GBP,Payment Gateway
PAY0000259,BKG000267,2025-03-09,Visa,892.08,Captured,10.7,GBP,Payment Gateway
PAY0000260,BKG000268,2026-06-27,Visa,214.63,Captured,2.58,GBP,Payment Gateway
PAY0000261,BKG000269,2024-11-22,Mastercard,376.96,Captured,4.52,GBP,Payment Gateway
PAY0000262,BKG000270,2025-10-04,Mastercard,511.52,Captured,8.18,GBP,Payment Gateway
PAY0000263,BKG000271,2026-04-10,Mastercard,824.52,Captured,9.89,GBP,Payment Gateway
PAY0000264,BKG000272,2024-06-20,Visa,387.66,Captured,4.65,GBP,Payment Gateway
PAY0000265,BKG000273,2024-09-09,Cash,422.78,Captured,0,GBP,Front Desk/PMS
PAY0000266,BKG000274,2025-05-12,Apple Pay,1058.12,Captured,14.81,GBP,Payment Gateway
PAY0000267,BKG000275,2025-06-23,Visa,1013.2,Captured,16.21,GBP,Payment Gateway
PAY0000268,BKG000276,2025-07-27,Visa,484.91,Captured,5.82,GBP,Payment Gateway
PAY0000269,BKG000277,2024-08-20,Mastercard,192.6,Captured,3.08,GBP,Payment Gateway
PAY0000270,BKG000277,2024-09-11,Bank Transfer,577.79,Captured,0,GBP,Payment Gateway
PAY0000271,BKG000279,2025-01-13,Mastercard,1054.8,Captured,12.66,GBP,Payment Gateway
PAY0000272,BKG000280,2025-05-21,Mastercard,268.96,Captured,3.77,GBP,Payment Gateway
PAY0000273,BKG000281,2025-01-27,Mastercard,380.99,Captured,5.33,GBP,Payment Gateway
PAY0000274,BKG000282,2024-01-09,Mastercard,143.84,Captured,2.59,GBP,Payment Gateway
PAY0000275,BKG000283,2024-08-22,Mastercard,265.36,Captured,4.78,GBP,Payment Gateway
PAY0000276,BKG000284,2024-09-16,Visa,849.8,Captured,13.6,GBP,Payment Gateway
PAY0000277,BKG000285,2024-08-20,Mastercard,310.02,Captured,4.34,GBP,Payment Gateway
PAY0000278,BKG000289,2024-01-01,Apple Pay,255.46,Captured,4.6,GBP,Payment Gateway
PAY0000279,BKG000290,2024-07-07,Cash,266.33,Captured,0,GBP,Front Desk/PMS
PAY0000280,BKG000291,2024-10-22,Mastercard,862.02,Captured,12.07,GBP,Payment Gateway
PAY0000281,BKG000292,2024-07-27,Bank Transfer,680,Captured,0,GBP,Payment Gateway
PAY0000282,BKG000293,2026-05-31,Bank Transfer,116.21,Captured,0,GBP,Payment Gateway
