ReviewID,BookingID,HotelID,GuestID,ReviewDate,ReviewSource,OverallScore,CleanlinessScore,ServiceScore,LocationScore,ValueScore,ReviewTitle,ManagementResponseSent
REV000042,BKG000134,HTL004,GST01046,2024-11-24,Google,3.8,4.3,4.8,3.9,3.1,Fine for a short stay,No
REV000043,BKG000139,HTL003,GST01189,2024-02-25,Tripadvisor,3.1,3.4,3.2,3.6,2.7,Not as expected,No
REV000044,BKG000140,HTL004,GST01032,2026-07-11,Booking.com,3.8,3.9,3.5,3.9,3.3,Mostly positive,Yes
REV000045,BKG000144,HTL001,GST00467,2026-02-01,Expedia,4.5,4.5,4.6,4.6,5,Great stay,No
REV000046,BKG000145,HTL006,GST00212,2026-06-28,Google,2.7,2.6,2.9,2.9,1.8,Not as expected,Yes
REV000047,BKG000148,HTL002,GST00626,2024-05-21,Booking.com,5,5,5,4.6,5,Lovely weekend,Yes
REV000048,BKG000149,HTL004,GST01814,2026-08-17,Tripadvisor,4.1,4.2,4.3,4,3.6,Solid city break,Yes
REV000049,BKG000156,HTL003,GST00067,2024-10-11,Post-stay Survey,4.9,5,4.8,4.6,5,Lovely weekend,Yes
REV000050,BKG000163,HTL004,GST00062,2026-06-21,Tripadvisor,4.3,4.9,4.2,4,4.6,Friendly team,Yes
REV000051,BKG000165,HTL003,GST00345,2025-10-21,Tripadvisor,3.4,3.8,2.9,3.4,3.1,Mostly positive,Yes
REV000052,BKG000168,HTL002,GST00111,2025-03-19,Post-stay Survey,3.8,4,3.5,4.3,3.5,Good overall,Yes
REV000053,BKG000172,HTL002,GST02021,2026-05-09,Tripadvisor,3.8,4.2,4.1,4.1,3,Good overall,Yes
REV000054,BKG000174,HTL005,GST01663,2024-05-27,Expedia,4.1,4.1,4.4,4.5,4.2,Convenient hotel,Yes
REV000055,BKG000178,HTL002,GST01937,2024-03-24,Post-stay Survey,3.5,4,3.3,3.7,3.5,Comfortable stay,Yes
REV000056,BKG000179,HTL005,GST01535,2024-09-07,Post-stay Survey,5,5,4.5,4.5,4.7,Clean and convenient,Yes
REV000057,BKG000182,HTL006,GST00178,2026-04-25,Tripadvisor,5,5,4.6,4.8,4.9,Great stay,Yes
REV000058,BKG000183,HTL004,GST00974,2024-11-12,Tripadvisor,4.5,4.7,4.5,4.5,4.4,Would stay again,Yes
REV000059,BKG000186,HTL002,GST00500,2026-03-12,Tripadvisor,4.7,4.1,4.4,5,4.7,Clean and convenient,Yes
REV000060,BKG000189,HTL004,GST01608,2025-08-22,Tripadvisor,4.9,5,4.5,4.4,4.7,Very comfortable,Yes
REV000061,BKG000190,HTL001,GST01374,2024-02-04,Google,4.2,4.3,4.9,4.6,4.5,Lovely weekend,Yes
REV000062,BKG000194,HTL001,GST00287,2026-04-01,Tripadvisor,4.9,4.9,4.7,5,4.8,Great stay,No
REV000063,BKG000204,HTL004,GST00240,2024-10-06,Booking.com,3.7,3.5,3.1,4.4,3.6,Comfortable stay,Yes
REV000064,BKG000211,HTL003,GST02034,2024-12-04,Tripadvisor,5,5,5,5,5,Excellent location,Yes
REV000065,BKG000223,HTL001,GST01508,2026-07-16,Post-stay Survey,4.1,4.6,3.7,4.1,4.5,Comfortable stay,Yes
REV000066,BKG000226,HTL001,GST01060,2026-04-22,Tripadvisor,3.8,4.2,3.5,3.9,4,Comfortable stay,Yes
REV000067,BKG000231,HTL003,GST01747,2024-02-26,Tripadvisor,3.3,3.2,3.2,3.9,2.9,Comfortable stay,Yes
REV000068,BKG000232,HTL006,GST00072,2026-08-21,Expedia,4,3.6,4.9,4.6,4.2,Convenient hotel,Yes
REV000069,BKG000241,HTL006,GST00357,2025-06-01,Post-stay Survey,3.6,3.9,4,3.8,3.4,Mostly positive,Yes
REV000070,BKG000245,HTL001,GST01468,2024-03-24,Expedia,4.1,3.8,4,3.9,3.8,Mostly positive,Yes
REV000071,BKG000257,HTL005,GST00409,2024-04-25,Expedia,4,4.9,4.2,4.1,3.3,Solid city break,Yes
REV000072,BKG000259,HTL001,GST01166,2024-02-27,Post-stay Survey,4.6,5,4.9,5,4.8,Clean and convenient,Yes
REV000073,BKG000261,HTL002,GST00133,2026-07-19,Post-stay Survey,2.7,2.7,2.5,2.8,3,Not as expected,Yes
REV000074,BKG000263,HTL005,GST00826,2025-10-24,Tripadvisor,3.9,3.6,3.3,4,3,Comfortable stay,Yes
REV000075,BKG000271,HTL004,GST01597,2026-05-01,Booking.com,4.8,5,5,4.8,4,Very comfortable,No
REV000076,BKG000273,HTL001,GST00272,2024-09-15,Post-stay Survey,5,4.6,5,4.3,4,Great stay,Yes
REV000077,BKG000277,HTL002,GST01164,2024-09-20,Post-stay Survey,4.3,3.9,4.1,4.6,4.5,Good business stay,No
REV000078,BKG000281,HTL002,GST01089,2025-02-04,Expedia,5,5,4.5,5,4.4,Great stay,No
REV000079,BKG000289,HTL002,GST01967,2024-01-07,Post-stay Survey,3.9,4.1,3.9,3.8,4.1,Comfortable stay,Yes
REV000080,BKG000292,HTL003,GST00387,2024-08-08,Booking.com,4,3.7,3.5,4.1,4.1,Good overall,No
REV000081,BKG000294,HTL004,GST00105,2026-04-14,Tripadvisor,4.7,4.9,4.3,5,4.7,Clean and convenient,Yes
REV000082,BKG000297,HTL004,GST00171,2025-10-03,Booking.com,3.6,3.7,4.2,3.8,3.8,Mostly positive,Yes
REV000083,BKG000301,HTL004,GST00189,2024-10-16,Tripadvisor,4.7,4.9,5,5,4.3,Excellent location,Yes
REV000084,BKG000304,HTL002,GST02071,2026-07-09,Post-stay Survey,5,4.9,4.4,3.7,4.4,Very comfortable,Yes
REV000085,BKG000305,HTL005,GST00309,2025-04-20,Post-stay Survey,4.9,4.3,4.9,4.4,5,Would stay again,Yes
REV000086,BKG000307,HTL002,GST00212,2026-09-05,Tripadvisor,3,2.9,2.6,3.8,2.9,Needs improvement,Yes
REV000087,BKG000308,HTL001,GST00844,2026-02-02,Post-stay Survey,4.5,4.2,4.5,4.3,4.5,Very comfortable,No
REV000088,BKG000314,HTL001,GST00692,2024-07-24,Tripadvisor,4.4,4.6,4,4.5,4.8,Very comfortable,Yes
REV000089,BKG000315,HTL005,GST00877,2026-05-09,Expedia,4,3.7,4.8,4.4,3.6,Mostly positive,Yes
REV000090,BKG000318,HTL006,GST00378,2026-08-27,Tripadvisor,5,5,5,4.1,5,Friendly team,Yes
REV000091,BKG000324,HTL003,GST00001,2024-04-29,Booking.com,3.9,4,3.1,3.6,3.5,Good overall,Yes
REV000092,BKG000331,HTL001,GST00006,2026-05-22,Post-stay Survey,3.6,3.8,3.6,4.1,3.8,Solid city break,Yes
REV000093,BKG000335,HTL004,GST01373,2025-10-02,Booking.com,3.7,3.7,4,3.4,3.7,Solid city break,Yes
REV000094,BKG000340,HTL001,GST00278,2025-11-04,Booking.com,3,3,2.4,3.3,2.5,Needs improvement,No
REV000095,BKG000341,HTL006,GST01776,2024-10-04,Tripadvisor,4.3,4.1,3.9,4.8,4.2,Lovely weekend,Yes
REV000096,BKG000346,HTL006,GST02036,2025-12-16,Post-stay Survey,4.2,3.9,4.2,4.6,4.2,Would stay again,Yes
REV000097,BKG000362,HTL005,GST00613,2024-07-19,Tripadvisor,3.7,3.6,4.4,4,3.3,Solid city break,Yes
REV000098,BKG000370,HTL003,GST01774,2024-08-11,Expedia,3.9,4.2,3.9,3.8,4.1,Mostly positive,Yes
REV000099,BKG000372,HTL001,GST01608,2025-10-25,Expedia,4.5,4.5,5,4.8,3.5,Clean and convenient,Yes
REV000100,BKG000373,HTL003,GST00459,2025-10-02,Google,2.6,2.9,2.2,3,2.9,Disappointing stay,Yes
REV000101,BKG000374,HTL001,GST00548,2025-03-20,Google,4.8,4.9,4.7,4.6,5,Very comfortable,Yes
REV000102,BKG000376,HTL004,GST00018,2026-07-19,Tripadvisor,5,4.8,4.2,4.9,5,Lovely weekend,Yes
REV000103,BKG000377,HTL001,GST01971,2025-10-18,Booking.com,5,5,5,4.9,4.2,Friendly team,Yes
REV000104,BKG000378,HTL003,GST00717,2024-12-04,Google,3.5,3.9,3.5,3.8,3.1,Comfortable stay,Yes
REV000105,BKG000379,HTL004,GST01589,2024-12-27,Expedia,3.9,3.5,4,4,3.8,Convenient hotel,Yes
REV000106,BKG000387,HTL002,GST00711,2024-10-27,Booking.com,3.3,3.7,3.2,3.4,3.3,Solid city break,Yes
REV000107,BKG000393,HTL006,GST00725,2024-09-27,Tripadvisor,4.6,4.5,4.5,4.9,4.9,Great stay,Yes
REV000108,BKG000408,HTL005,GST00016,2025-05-06,Expedia,4.1,4.4,4.2,4.4,4.1,Fine for a short stay,Yes
REV000109,BKG000411,HTL003,GST00202,2026-02-20,Post-stay Survey,3.7,4.4,3.7,4,3.7,Comfortable stay,Yes
REV000110,BKG000413,HTL003,GST00751,2025-02-04,Tripadvisor,4.1,4.2,4.6,4.4,3.2,Solid city break,Yes
REV000111,BKG000415,HTL001,GST01722,2026-08-08,Post-stay Survey,4.3,3.8,4.2,4.5,4.2,Clean and convenient,Yes
REV000112,BKG000419,HTL002,GST00194,2026-01-12,Expedia,3.8,4,3.7,3.6,3.7,Fine for a short stay,Yes
REV000113,BKG000422,HTL002,GST01284,2026-04-08,Expedia,4.4,4,4,4.5,3.2,Excellent location,Yes
REV000114,BKG000424,HTL001,GST00197,2026-05-07,Expedia,3.8,3.4,4.1,4.1,4,Mostly positive,Yes
REV000115,BKG000428,HTL003,GST00191,2025-10-15,Expedia,3.6,3.5,3.8,3.9,3.1,Fine for a short stay,Yes
REV000116,BKG000436,HTL001,GST01206,2026-06-09,Tripadvisor,4,4.1,3.7,3.3,3.5,Solid city break,Yes
REV000117,BKG000439,HTL003,GST00432,2025-12-13,Booking.com,4.1,4.5,3.7,4.2,4.7,Comfortable stay,Yes
REV000118,BKG000453,HTL002,GST00272,2025-11-24,Tripadvisor,3.3,2.8,3,3.3,3.2,Mostly positive,Yes
REV000119,BKG000454,HTL003,GST00015,2025-01-28,Booking.com,4.2,4.3,5,4.6,4.1,Good business stay,Yes
REV000120,BKG000456,HTL001,GST00040,2024-08-28,Tripadvisor,3.7,4.7,3.8,4,4,Mostly positive,Yes
REV000121,BKG000462,HTL004,GST01216,2025-12-15,Post-stay Survey,4.4,3.7,3.8,5,4.3,Friendly team,Yes
REV000122,BKG000464,HTL001,GST00635,2025-03-26,Tripadvisor,2.8,3.6,2.4,2.8,2.1,Needs improvement,Yes
REV000123,BKG000465,HTL004,GST00156,2026-06-15,Google,4,4.3,4.5,3.8,4,Mostly positive,Yes
REV000124,BKG000468,HTL005,GST01750,2026-05-17,Booking.com,3.5,3.6,3.3,3.6,3,Convenient hotel,Yes
REV000125,BKG000474,HTL002,GST00781,2024-06-14,Post-stay Survey,4,3.6,4,4.1,4.1,Good overall,Yes
REV000126,BKG000475,HTL001,GST02266,2025-04-27,Post-stay Survey,4.9,4.4,4.6,4.2,5,Very comfortable,Yes
REV000127,BKG000478,HTL004,GST01739,2024-02-27,Expedia,5,4.9,5,4.8,5,Lovely weekend,Yes
REV000128,BKG000485,HTL006,GST00498,2026-01-05,Google,5,5,4.5,4.8,5,Clean and convenient,Yes
REV000129,BKG000487,HTL006,GST00475,2024-06-23,Google,4.6,5,4.8,4.4,5,Would stay again,Yes
REV000130,BKG000488,HTL005,GST01007,2024-02-27,Google,5,5,4.9,4.9,4.3,Very comfortable,Yes
REV000131,BKG000495,HTL006,GST01616,2024-08-15,Google,4.1,4.2,4.4,4.6,4.2,Solid city break,Yes
REV000132,BKG000496,HTL006,GST00597,2025-05-12,Google,4.2,4.3,3.8,4,4.8,Clean and convenient,Yes
REV000133,BKG000500,HTL006,GST00045,2024-08-07,Expedia,3.9,3.2,4,4.3,4.1,Fine for a short stay,Yes
REV000134,BKG000506,HTL005,GST00094,2025-12-23,Post-stay Survey,4.4,4.2,4,4.4,4.6,Great stay,Yes
REV000135,BKG000515,HTL001,GST01656,2025-02-16,Tripadvisor,5,5,4.9,5,4.9,Excellent location,Yes
REV000136,BKG000519,HTL002,GST00822,2025-08-29,Expedia,4,3.7,3.6,4,3.4,Convenient hotel,Yes
REV000137,BKG000524,HTL004,GST00317,2024-10-12,Tripadvisor,4.6,4.4,4.4,4.4,4.5,Great stay,Yes
REV000138,BKG000525,HTL006,GST01200,2026-01-15,Booking.com,4.3,4.5,3.9,5,3.7,Excellent location,Yes
REV000139,BKG000530,HTL005,GST01469,2025-07-09,Google,4.6,5,4.8,4.5,4.5,Lovely weekend,Yes
REV000140,BKG000550,HTL005,GST00462,2025-07-05,Google,3.3,3.4,2.4,3.4,3.7,Comfortable stay,No
REV000141,BKG000555,HTL004,GST00172,2024-06-29,Expedia,4.5,4.7,4.6,4.7,4.9,Very comfortable,No
REV000142,BKG000562,HTL002,GST00472,2026-04-30,Tripadvisor,5,5,5,4.5,4.7,Lovely weekend,Yes
REV000143,BKG000564,HTL001,GST01056,2026-05-24,Google,4.5,4.7,4.5,4.9,4.8,Very comfortable,No
REV000144,BKG000565,HTL003,GST00556,2024-08-25,Google,4.1,3.5,4.6,4,4.6,Convenient hotel,Yes
REV000145,BKG000571,HTL004,GST01634,2025-09-22,Post-stay Survey,4.6,3.3,3.7,4.7,4.6,Good business stay,Yes
REV000146,BKG000574,HTL006,GST01408,2024-04-23,Google,4.2,4.1,4.9,4,4.4,Excellent location,No
REV000147,BKG000578,HTL003,GST00348,2026-03-01,Google,3.2,3.3,3.3,2.4,3.6,Mostly positive,Yes
REV000148,BKG000582,HTL001,GST01951,2025-01-11,Google,3.6,4.2,3.3,3.5,3.6,Mostly positive,Yes
REV000149,BKG000584,HTL003,GST00684,2025-05-20,Booking.com,5,5,4.5,4.9,4.5,Excellent location,No
REV000150,BKG000586,HTL004,GST01668,2026-08-23,Google,3.7,3.3,4.1,4,2.8,Good overall,Yes
REV000151,BKG000588,HTL004,GST02285,2024-02-27,Booking.com,3.4,3.8,3.8,3.4,2.8,Comfortable stay,Yes
REV000152,BKG000592,HTL001,GST02007,2024-06-20,Booking.com,5,5,4.8,3.9,4.4,Very comfortable,Yes
REV000153,BKG000593,HTL004,GST00205,2025-03-18,Google,3.8,4,4.3,4.3,3.1,Mostly positive,No
REV000154,BKG000594,HTL006,GST00842,2024-01-25,Google,5,5,5,4.5,4.5,Good business stay,No
REV000155,BKG000595,HTL002,GST01648,2025-11-09,Booking.com,4.8,4.1,4.6,4.7,5,Great stay,Yes
REV000156,BKG000601,HTL004,GST00259,2026-05-26,Booking.com,5,5,4.9,4.9,4.8,Great stay,Yes
REV000157,BKG000605,HTL006,GST00967,2025-11-01,Google,4.5,4.6,4.2,4.9,4.8,Very comfortable,Yes
REV000158,BKG000609,HTL003,GST00042,2024-06-20,Expedia,4.1,4,4.2,4.1,3.7,Good overall,Yes
REV000159,BKG000613,HTL005,GST01516,2025-08-27,Expedia,4.3,4.2,3.8,4,4.1,Lovely weekend,Yes
REV000160,BKG000621,HTL002,GST00352,2025-05-29,Post-stay Survey,4,4.5,4.2,4.5,4.1,Solid city break,Yes
REV000161,BKG000622,HTL002,GST00079,2026-02-07,Expedia,2.8,2.7,2.4,2.9,2.7,Could be better,Yes
REV000162,BKG000623,HTL001,GST01208,2026-03-13,Post-stay Survey,5,5,5,4.7,5,Great stay,Yes
REV000163,BKG000624,HTL001,GST00202,2025-01-13,Tripadvisor,5,5,5,4.9,5,Lovely weekend,No
REV000164,BKG000625,HTL004,GST01508,2024-04-11,Post-stay Survey,5,5,5,4.7,5,Great stay,Yes
REV000165,BKG000629,HTL004,GST01059,2025-07-06,Tripadvisor,3.9,3.5,4.3,4.1,4.4,Convenient hotel,Yes
REV000166,BKG000637,HTL001,GST00588,2024-05-12,Booking.com,4.6,4.4,4.9,4.5,4.6,Excellent location,Yes
REV000167,BKG000638,HTL002,GST01085,2025-12-08,Post-stay Survey,4.3,3.7,4.3,3.9,4,Very comfortable,Yes
REV000168,BKG000652,HTL006,GST01483,2024-09-18,Google,3.7,4.1,3.6,3.2,3.6,Comfortable stay,Yes
REV000169,BKG000654,HTL002,GST02063,2025-10-14,Google,3.9,3.7,4,3.9,3.7,Comfortable stay,Yes
REV000170,BKG000659,HTL003,GST01419,2025-03-29,Google,4.9,4.4,4.7,4.4,4.3,Very comfortable,Yes
REV000171,BKG000660,HTL001,GST02161,2025-12-26,Booking.com,4.6,4.8,4.3,4.8,4.3,Very comfortable,Yes
REV000172,BKG000662,HTL002,GST02093,2025-06-15,Tripadvisor,3.9,4.3,3.4,4,3.4,Good overall,Yes
REV000173,BKG000664,HTL002,GST00631,2024-06-23,Tripadvisor,4,4.1,4.6,4.5,4.1,Good overall,Yes
REV000174,BKG000665,HTL001,GST01668,2024-06-23,Tripadvisor,3.8,3.7,4.2,3.9,2.9,Comfortable stay,Yes
REV000175,BKG000667,HTL005,GST00221,2025-02-14,Expedia,4.2,4.7,4,4.8,3.9,Clean and convenient,Yes
REV000176,BKG000676,HTL002,GST01565,2026-05-06,Post-stay Survey,4.2,4,4,4.6,4.3,Great stay,Yes
REV000177,BKG000681,HTL003,GST00810,2024-08-28,Booking.com,3.8,3.6,3.8,3.6,3.4,Comfortable stay,Yes
REV000178,BKG000683,HTL001,GST00329,2025-04-21,Tripadvisor,3.7,3.6,3.2,3.4,3.9,Convenient hotel,Yes
REV000179,BKG000689,HTL002,GST00969,2025-08-22,Google,4.5,4,4.2,5,4,Good business stay,Yes
REV000180,BKG000692,HTL004,GST01286,2024-06-07,Google,4.8,4.6,4.5,5,4.4,Lovely weekend,Yes
REV000181,BKG000694,HTL004,GST01367,2024-12-04,Post-stay Survey,5,4.7,5,4.3,5,Friendly team,Yes
REV000182,BKG000698,HTL005,GST00083,2024-01-23,Expedia,4.1,4.1,4,3.8,3.1,Comfortable stay,Yes
REV000183,BKG000699,HTL004,GST00657,2025-06-20,Post-stay Survey,4.2,4.6,5,4.3,3.9,Excellent location,Yes
REV000184,BKG000704,HTL006,GST00332,2024-07-01,Post-stay Survey,3.5,3.3,4.2,4.1,3.1,Comfortable stay,Yes
REV000185,BKG000711,HTL001,GST00006,2026-08-20,Google,4.7,4.4,4.8,4.7,5,Excellent location,Yes
REV000186,BKG000714,HTL004,GST00910,2024-09-02,Post-stay Survey,5,5,5,4.4,5,Excellent location,Yes
REV000187,BKG000716,HTL001,GST01108,2024-07-17,Tripadvisor,5,5,5,4.1,4.6,Clean and convenient,Yes
REV000188,BKG000721,HTL002,GST00018,2025-08-18,Google,4.1,4.3,4.1,4.1,4,Fine for a short stay,Yes
REV000189,BKG000726,HTL002,GST00007,2024-08-11,Post-stay Survey,4.3,4.2,4.6,4.7,4.5,Lovely weekend,Yes
REV000190,BKG000727,HTL002,GST01021,2026-09-02,Post-stay Survey,3.5,3.7,3.9,3.6,3.7,Convenient hotel,Yes
REV000191,BKG000729,HTL001,GST00988,2025-12-08,Booking.com,3.8,4.8,3.8,4.4,3.5,Fine for a short stay,Yes
REV000192,BKG000730,HTL004,GST00658,2024-04-16,Google,5,5,4.9,5,4.7,Lovely weekend,Yes
REV000193,BKG000731,HTL003,GST00252,2024-05-08,Google,3.4,3.3,3.1,3.9,2.8,Comfortable stay,No
REV000194,BKG000734,HTL004,GST00502,2026-08-24,Google,3.4,2.9,3,4,3.1,Solid city break,Yes
REV000195,BKG000736,HTL005,GST01198,2024-08-15,Booking.com,4.6,4.3,4.7,4.6,4.9,Good business stay,Yes
REV000196,BKG000738,HTL006,GST00880,2024-05-04,Tripadvisor,4.5,5,4.1,5,3.8,Very comfortable,No
REV000197,BKG000746,HTL004,GST00347,2025-07-25,Post-stay Survey,4.2,3.8,4.2,4,4.2,Clean and convenient,Yes
REV000198,BKG000747,HTL003,GST00562,2025-04-08,Post-stay Survey,4.7,5,5,4.6,4.2,Clean and convenient,Yes
REV000199,BKG000749,HTL005,GST00230,2026-04-09,Google,4.9,4.7,5,4.7,5,Very comfortable,Yes
REV000200,BKG000750,HTL005,GST00285,2024-05-06,Google,3.7,3.9,3.4,3.2,3.4,Good overall,Yes
REV000201,BKG000752,HTL004,GST01225,2025-12-20,Booking.com,4.6,4.6,5,4.7,4.7,Very comfortable,Yes
REV000202,BKG000755,HTL002,GST00898,2024-01-27,Google,4.2,4.1,4,4,3.4,Lovely weekend,Yes
REV000203,BKG000757,HTL003,GST01341,2024-05-08,Google,3.1,3.3,3.4,3.2,2.2,Mixed experience,Yes
REV000204,BKG000758,HTL004,GST01511,2024-08-31,Post-stay Survey,3.7,3.2,3.8,3.9,2.9,Mostly positive,No
REV000205,BKG000759,HTL003,GST00879,2024-07-18,Booking.com,3.4,3.9,4,3.9,3.2,Convenient hotel,No
REV000206,BKG000760,HTL001,GST01248,2024-09-30,Booking.com,5,5,4.9,3.9,5,Clean and convenient,Yes
REV000207,BKG000763,HTL001,GST00090,2024-10-21,Booking.com,4.2,4,3.9,4.6,3.7,Great stay,Yes
REV000208,BKG000767,HTL004,GST02232,2025-06-25,Tripadvisor,5,5,4.7,4,5,Great stay,Yes
REV000209,BKG000768,HTL004,GST01687,2026-08-02,Post-stay Survey,4,3.8,3.6,3.7,3.4,Solid city break,Yes
REV000210,BKG000770,HTL001,GST01742,2026-05-28,Google,4.3,4.7,3.9,4.2,5,Friendly team,Yes
REV000211,BKG000775,HTL005,GST00282,2026-01-09,Expedia,4.1,4.7,3.9,3.8,4,Solid city break,Yes
REV000212,BKG000776,HTL003,GST00112,2025-02-01,Tripadvisor,4.7,4.2,4.8,4.2,4,Good business stay,Yes
REV000213,BKG000778,HTL001,GST01261,2025-06-29,Google,5,4.5,4.6,4.2,4.9,Friendly team,No
REV000214,BKG000781,HTL004,GST00569,2025-08-25,Booking.com,4.5,5,4.4,4.4,3.6,Clean and convenient,Yes
REV000215,BKG000790,HTL003,GST02222,2025-01-04,Google,4.7,4.7,4.8,5,5,Clean and convenient,Yes
REV000216,BKG000792,HTL004,GST01853,2025-03-18,Post-stay Survey,4.4,4.3,5,4.4,3.6,Friendly team,Yes
REV000217,BKG000803,HTL001,GST00303,2024-08-05,Post-stay Survey,5,4.7,4.9,4.8,5,Very comfortable,Yes
REV000218,BKG000804,HTL001,GST01189,2024-04-21,Google,4.2,4.3,4.3,4.1,4.1,Would stay again,Yes
REV000219,BKG000806,HTL003,GST00109,2025-11-13,Booking.com,3.5,3.8,4.1,3.4,4,Mostly positive,Yes
REV000220,BKG000809,HTL002,GST00489,2025-11-03,Google,3,3.4,3.4,3.5,2.4,Disappointing stay,Yes
